plant_id,plant_label,timestamp_hour,demand_kw,battery_soc_pct,battery_capacity_kwh,max_charge_rate_kw,max_discharge_rate_kw,battery_power_kw,backup_available,backup_capacity_kw,grid_export_available,grid_export_limit_kw,electricity_price_inr_per_mwh,backup_cost_inr_per_mwh,backup_co2_kg_per_mwh,operational_fields_source
4135001,Plant_1,2020-05-15 00:00:00,8710.262,37.46,41416.336,6902.723,6902.723,-6902.723,True,11044.356,True,8283.267,5041.02,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 01:00:00,7978.045,19.91,41416.336,6902.723,6902.723,-6902.723,True,11044.356,True,8283.267,5342.0,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 02:00:00,8988.334,15.0,41416.336,6902.723,6902.723,-1932.762,True,11044.356,True,8283.267,5001.88,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 03:00:00,9144.103,15.0,41416.336,6902.723,6902.723,-0.0,True,11044.356,True,8283.267,5157.08,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 04:00:00,7675.169,15.0,41416.336,6902.723,6902.723,-0.0,True,11044.356,True,8283.267,5179.34,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 05:00:00,8332.271,15.0,41416.336,6902.723,6902.723,-0.0,True,11044.356,True,8283.267,5486.72,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 06:00:00,9696.853,15.0,41416.336,6902.723,6902.723,-0.0,True,11044.356,True,8283.267,5136.15,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 07:00:00,10291.235,15.0,41416.336,6902.723,6902.723,-0.0,True,11044.356,True,8283.267,4760.94,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 08:00:00,11307.409,15.0,41416.336,6902.723,6902.723,-0.0,True,11044.356,True,8283.267,6190.8,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 09:00:00,11310.697,17.27,41416.336,6902.723,6902.723,991.477,True,11044.356,True,8283.267,5974.18,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 10:00:00,12139.35,22.21,41416.336,6902.723,6902.723,2152.892,True,11044.356,True,8283.267,6107.67,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 11:00:00,11544.775,33.71,41416.336,6902.723,6902.723,5012.512,True,11044.356,True,8283.267,6084.39,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 12:00:00,10588.313,49.54,41416.336,6902.723,6902.723,6902.723,True,11044.356,True,8283.267,6050.73,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 13:00:00,10863.025,59.78,41416.336,6902.723,6902.723,4464.541,True,11044.356,True,8283.267,6242.26,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 14:00:00,10536.783,75.62,41416.336,6902.723,6902.723,6902.723,False,11044.356,True,8283.267,5824.08,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 15:00:00,10232.821,82.84,41416.336,6902.723,6902.723,3147.549,True,11044.356,True,8283.267,6006.94,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 16:00:00,11752.295,77.32,41416.336,6902.723,6902.723,-2171.822,True,11044.356,True,8283.267,6223.13,14000.0,700.0,Synthetic simulation
4135001,Plant_1,2020-05-15 17:00:00,12132.006,59.77,41416.336,6902.723,6902.723,-6902.723,True,11044.356,True,8283.267,5989.46,14000.0,700.0,Synthetic simulation
