timestamp_hour,predicted_generation_kw,demand_kw,soc_after_action_pct,reserve_soc_pct,condition,actions,confidence_pct,urgency,net_cost_inr,backup_co2_kg,unserved_energy_mwh
2020-05-15 20:00:00,0.0,10114.074,24.82,37.1,SHORTAGE,ACTIVATE_BACKUP + UNSERVED_DEMAND_ALERT,60.4,HIGH,114392.6,5719.63,1.9432
2020-05-15 21:00:00,0.0,8332.045,24.82,37.1,SHORTAGE,ACTIVATE_BACKUP + UNSERVED_DEMAND_ALERT,60.4,HIGH,114392.6,5719.63,0.1611
2020-05-15 22:00:00,0.0,7476.244,24.82,37.1,SHORTAGE,ACTIVATE_BACKUP,80.4,HIGH,104667.42,5233.37,0.0
2020-05-15 23:00:00,0.0,6809.479,24.82,37.1,SHORTAGE,ACTIVATE_BACKUP,80.4,HIGH,95332.71,4766.64,0.0
2020-05-16 00:00:00,0.0,5682.77,24.82,37.1,SHORTAGE,ACTIVATE_BACKUP,80.4,HIGH,79558.78,3977.94,0.0
2020-05-16 01:00:00,0.0,5279.349,24.82,37.1,SHORTAGE,ACTIVATE_BACKUP,80.4,HIGH,73910.89,3695.54,0.0
2020-05-16 02:00:00,0.0,5269.56,24.82,37.1,SHORTAGE,ACTIVATE_BACKUP,80.4,HIGH,73773.84,3688.69,0.0
2020-05-16 03:00:00,0.0,5549.429,24.82,37.1,SHORTAGE,ACTIVATE_BACKUP,80.4,HIGH,77692.01,3884.6,0.0
2020-05-16 04:00:00,0.0,6007.671,24.82,37.1,SHORTAGE,ACTIVATE_BACKUP,80.4,HIGH,84107.39,4205.37,0.0
2020-05-16 05:00:00,0.0,5693.991,24.82,37.1,SHORTAGE,ACTIVATE_BACKUP,80.4,HIGH,79715.87,3985.79,0.0
2020-05-16 06:00:00,1346.3541761904762,6521.297,24.82,37.1,SHORTAGE,ACTIVATE_BACKUP,80.4,HIGH,72449.2,3622.46,0.0
2020-05-16 07:00:00,5932.225385714287,7573.995,24.82,37.1,SHORTAGE,ACTIVATE_BACKUP,80.4,HIGH,22984.78,1149.24,0.0
2020-05-16 08:00:00,12999.5563,7190.26,39.86,37.1,SURPLUS,CHARGE_BATTERY + EXPORT_TO_GRID,80.4,HIGH,1095.39,0.0,0.0
2020-05-16 09:00:00,18207.17413333333,7955.104,54.9,37.1,SURPLUS,CHARGE_BATTERY + EXPORT_TO_GRID,80.4,HIGH,-20464.76,0.0,0.0
2020-05-16 10:00:00,15738.623123809524,8370.742,69.94,37.1,SURPLUS,CHARGE_BATTERY + EXPORT_TO_GRID,80.4,HIGH,-6001.33,0.0,0.0
2020-05-16 11:00:00,15956.801780952383,7413.771,84.99,37.1,SURPLUS,CHARGE_BATTERY + EXPORT_TO_GRID,80.4,HIGH,-12078.13,0.0,0.0
2020-05-16 12:00:00,12767.053571428572,6965.829,89.75,37.1,SURPLUS,CHARGE_BATTERY + EXPORT_TO_GRID,80.4,HIGH,-19032.58,0.0,0.0
2020-05-16 13:00:00,13795.372509523811,7463.114,89.99,37.1,SURPLUS,CHARGE_BATTERY + EXPORT_TO_GRID + CURTAIL_GENERATION,80.4,HIGH,-30015.8,0.0,0.0
2020-05-16 14:00:00,14780.420561904763,6888.657,90.0,37.1,SURPLUS,CHARGE_BATTERY + EXPORT_TO_GRID + CURTAIL_GENERATION,80.4,HIGH,-30315.25,0.0,0.0
2020-05-16 15:00:00,10453.186433333334,7757.534,90.0,37.1,SURPLUS,CHARGE_BATTERY + EXPORT_TO_GRID,80.4,HIGH,-13511.23,0.0,0.0
2020-05-16 16:00:00,4529.750223809524,8055.641,77.89,37.1,SHORTAGE,DISCHARGE_BATTERY,80.4,HIGH,4231.07,0.0,0.0
2020-05-16 17:00:00,967.940761904762,8499.692,61.22,37.1,SHORTAGE,DISCHARGE_BATTERY + ACTIVATE_BACKUP,80.4,HIGH,43345.67,1876.2,0.0
2020-05-16 18:00:00,3.8369476190476193,9493.778,44.55,37.1,SHORTAGE,DISCHARGE_BATTERY + ACTIVATE_BACKUP,80.4,HIGH,70760.33,3246.93,0.0
2020-05-16 19:00:00,0.0,9625.708,29.6,29.6,SHORTAGE,DISCHARGE_BATTERY + ACTIVATE_BACKUP,80.4,HIGH,79042.92,3690.97,0.0
