plant_id,plant_label,timestamp_hour,generation_ac_kw,ambient_temperature_c,module_temperature_c,irradiation,plant_peak_reference_kw
4135001,Plant_1,2020-05-15 00:00:00,0.0,25.01269695,22.6430832333,0.0,27610.891
4135001,Plant_1,2020-05-15 01:00:00,0.0,24.6673284393,22.411959594,0.0,27610.891
4135001,Plant_1,2020-05-15 02:00:00,0.0,24.9868367333,23.5120718333,0.0,27610.891
4135001,Plant_1,2020-05-15 03:00:00,0.0,24.9545890405,24.1264334929,0.0,27610.891
4135001,Plant_1,2020-05-15 04:00:00,0.0,24.27666985,22.133106,0.0,27610.891
4135001,Plant_1,2020-05-15 05:00:00,0.0,24.27498305,23.0201182345,0.0002156803,27610.891
4135001,Plant_1,2020-05-15 06:00:00,1238.727678577,24.07395065,22.9739853,0.0432431855,27610.891
4135001,Plant_1,2020-05-15 07:00:00,4262.353630925,24.889582025,28.8067213643,0.1475614228,27610.891
4135001,Plant_1,2020-05-15 08:00:00,9110.83610115,26.1603017667,36.5853169667,0.3162804107,27610.891
4135001,Plant_1,2020-05-15 09:00:00,12302.17366075,27.6440418512,42.9234605083,0.4396227654,27610.891
4135001,Plant_1,2020-05-15 10:00:00,14292.24223215,28.9018137667,48.3698806167,0.5150172215,27610.891
4135001,Plant_1,2020-05-15 11:00:00,16557.2865473,30.1812509381,48.8425471929,0.5618510869,27610.891
4135001,Plant_1,2020-05-15 12:00:00,18885.107737825,31.8379444833,50.5031428167,0.6783298892,27610.891
4135001,Plant_1,2020-05-15 13:00:00,15327.5660715,32.5807382012,47.7021690286,0.5102064739,27610.891
4135001,Plant_1,2020-05-15 14:00:00,19202.96598215,33.9177654536,51.7429621774,0.6594180686,27610.891
4135001,Plant_1,2020-05-15 15:00:00,13380.3696428,34.1920287667,45.2450175333,0.4394019457,27610.891
4135001,Plant_1,2020-05-15 16:00:00,9580.4733631,34.1814034333,41.2599879667,0.3230948608,27610.891
4135001,Plant_1,2020-05-15 17:00:00,3357.5050595375,33.0218904095,34.641462694,0.1165690756,27610.891
4135001,Plant_1,2020-05-15 18:00:00,210.1321428588,29.188776594,28.0389443,0.0083839765,27610.891
4135001,Plant_1,2020-05-15 19:00:00,0.0,26.3398656,24.7107082,5.64007e-05,27610.891
4135001,Plant_1,2020-05-15 20:00:00,0.0,22.603436744,20.4288861119,0.0,27610.891
4135001,Plant_1,2020-05-15 21:00:00,0.0,22.1864893167,20.7391174833,0.0,27610.891
4135001,Plant_1,2020-05-15 22:00:00,0.0,22.1332411905,20.8825043821,0.0,27610.891
4135001,Plant_1,2020-05-15 23:00:00,0.0,22.2360183077,21.2413165385,0.0,27610.891
4135001,Plant_1,2020-05-16 00:00:00,0.0,22.0221177829,20.7616201534,0.0,27610.891
4135001,Plant_1,2020-05-16 01:00:00,0.0,21.8082172581,20.2819237684,0.0,27610.891
4135001,Plant_1,2020-05-16 02:00:00,0.0,21.5943167333,19.8022273833,0.0,27610.891
4135001,Plant_1,2020-05-16 03:00:00,0.0,21.7079533667,20.2587860333,0.0,27610.891
4135001,Plant_1,2020-05-16 04:00:00,0.0,21.928549756,20.7622478405,0.0,27610.891
4135001,Plant_1,2020-05-16 05:00:00,0.0,21.9089015,20.61456405,3.67924e-05,27610.891
4135001,Plant_1,2020-05-16 06:00:00,1187.8999999728,21.977285575,21.0180624012,0.039656077,27610.891
4135001,Plant_1,2020-05-16 07:00:00,5082.67142855,22.8672145845,25.2397248679,0.1662284376,27610.891
4135001,Plant_1,2020-05-16 08:00:00,11535.70089285,24.8106129667,34.8246765167,0.3835834597,27610.891
4135001,Plant_1,2020-05-16 09:00:00,13702.236607175,26.4802669333,39.9388255667,0.4604658103,27610.891
4135001,Plant_1,2020-05-16 10:00:00,17335.01562495,28.1519703881,47.4145014833,0.5527850173,27610.891
4135001,Plant_1,2020-05-16 11:00:00,17061.49062495,29.51412865,47.7105172667,0.5584641587,27610.891
4135001,Plant_1,2020-05-16 12:00:00,20465.747767475,30.6435685452,50.8623542976,0.6954473705,27610.891
4135001,Plant_1,2020-05-16 13:00:00,18734.008036,31.4900843833,50.48822185,0.6139163518,27610.891
4135001,Plant_1,2020-05-16 14:00:00,15922.526785675,32.0017147202,47.2407173869,0.5202818691,27610.891
4135001,Plant_1,2020-05-16 15:00:00,11875.821428625,32.3481115167,43.6488195333,0.3836832742,27610.891
4135001,Plant_1,2020-05-16 16:00:00,5959.491071425,31.9458553095,36.1417754012,0.1863190571,27610.891
4135001,Plant_1,2020-05-16 17:00:00,2952.0566964275,31.40916235,32.0522460167,0.0932087214,27610.891
4135001,Plant_1,2020-05-16 18:00:00,275.2883928625,29.37973935,26.6784448833,0.0088461486,27610.891
4135001,Plant_1,2020-05-16 19:00:00,0.0,27.7738435798,25.1737108357,0.0,27610.891
4135001,Plant_1,2020-05-16 20:00:00,0.0,26.6097525476,24.0066163857,0.0,27610.891
4135001,Plant_1,2020-05-16 21:00:00,0.0,25.5087884667,22.8389531833,0.0,27610.891
4135001,Plant_1,2020-05-16 22:00:00,0.0,24.7496326976,22.0997028048,0.0,27610.891
4135001,Plant_1,2020-05-16 23:00:00,0.0,24.3703902833,22.0790273,0.0,27610.891
4135001,Plant_1,2020-05-17 00:00:00,0.0,24.0033637,21.570909944,0.0,27610.891
4135001,Plant_1,2020-05-17 01:00:00,0.0,23.7739834844,21.6131453094,0.0,27610.891
4135001,Plant_1,2020-05-17 02:00:00,0.0,23.4092645155,21.3331840274,0.0,27610.891
4135001,Plant_1,2020-05-17 03:00:00,0.0,23.10624795,21.1627222833,0.0,27610.891
4135001,Plant_1,2020-05-17 04:00:00,0.0,22.8250529167,20.9676645833,0.0,27610.891
4135001,Plant_1,2020-05-17 05:00:00,0.0,22.5694000345,21.0143464369,8.33637e-05,27610.891
4135001,Plant_1,2020-05-17 06:00:00,777.219642865,22.78054205,21.898464,0.0298049556,27610.891
4135001,Plant_1,2020-05-17 07:00:00,5937.74821435,23.785956519,27.0360070417,0.2119541749,27610.891
4135001,Plant_1,2020-05-17 08:00:00,12564.4558036,25.9714309167,39.3082666167,0.435259915,27610.891
4135001,Plant_1,2020-05-17 09:00:00,17692.66473235,28.3759635048,47.5348587619,0.6042784055,27610.891
4135001,Plant_1,2020-05-17 10:00:00,22159.221429125,30.33595685,51.7966619667,0.7530183227,27610.891
4135001,Plant_1,2020-05-17 11:00:00,25013.164582875,31.8854151345,60.1113761095,0.9144147962,27610.891
4135001,Plant_1,2020-05-17 12:00:00,20181.87008905,33.0597604167,56.0419613,0.731458804,27610.891
4135001,Plant_1,2020-05-17 13:00:00,16702.277678325,33.6800195607,50.879018519,0.5605612116,27610.891
4135001,Plant_1,2020-05-17 14:00:00,15158.1178571,34.2400504333,48.9314016333,0.5259670067,27610.891
