plant_id,plant_label,timestamp_hour,generation_ac_kw,generation_dc_kw,ambient_temperature_c,module_temperature_c,irradiation,plant_peak_reference_kw,capacity_factor,hour_sin,hour_cos
4135001,Plant_1,2020-05-15 00:00:00,0.0000000000,0.0000000000,25.0126969500,22.6430832333,0.0000000000,27610.8910000000,0.0000000000,0.0000000000,1.0000000000
4135001,Plant_1,2020-05-15 01:00:00,0.0000000000,0.0000000000,24.6673284393,22.4119595940,0.0000000000,27610.8910000000,0.0000000000,0.2588190451,0.9659258263
4135001,Plant_1,2020-05-15 02:00:00,0.0000000000,0.0000000000,24.9868367333,23.5120718333,0.0000000000,27610.8910000000,0.0000000000,0.5000000000,0.8660254038
4135001,Plant_1,2020-05-15 03:00:00,0.0000000000,0.0000000000,24.9545890405,24.1264334929,0.0000000000,27610.8910000000,0.0000000000,0.7071067812,0.7071067812
4135001,Plant_1,2020-05-15 04:00:00,0.0000000000,0.0000000000,24.2766698500,22.1331060000,0.0000000000,27610.8910000000,0.0000000000,0.8660254038,0.5000000000
4135001,Plant_1,2020-05-15 05:00:00,0.0000000000,0.0000000000,24.2749830500,23.0201182345,0.0002156803,27610.8910000000,0.0000000000,0.9659258263,0.2588190451
4135001,Plant_1,2020-05-15 06:00:00,1238.7276785770,12745.4985121575,24.0739506500,22.9739853000,0.0432431855,27610.8910000000,0.0448637343,1.0000000000,0.0000000000
4135001,Plant_1,2020-05-15 07:00:00,4262.3536309250,43481.3267850000,24.8895820250,28.8067213643,0.1475614228,27610.8910000000,0.1543721871,0.9659258263,-0.2588190451
4135001,Plant_1,2020-05-15 08:00:00,9110.8361011500,92851.7476180000,26.1603017667,36.5853169667,0.3162804107,27610.8910000000,0.3299725496,0.8660254038,-0.5000000000
4135001,Plant_1,2020-05-15 09:00:00,12302.1736607500,125579.2991072500,27.6440418512,42.9234605083,0.4396227654,27610.8910000000,0.4455551130,0.7071067812,-0.7071067812
4135001,Plant_1,2020-05-15 10:00:00,14292.2422321500,145992.3866065000,28.9018137667,48.3698806167,0.5150172215,27610.8910000000,0.5176306057,0.5000000000,-0.8660254038
4135001,Plant_1,2020-05-15 11:00:00,16557.2865473000,169286.6547595000,30.1812509381,48.8425471929,0.5618510869,27610.8910000000,0.5996650578,0.2588190451,-0.9659258263
4135001,Plant_1,2020-05-15 12:00:00,18885.1077378250,193173.7083375000,31.8379444833,50.5031428167,0.6783298892,27610.8910000000,0.6839731372,0.0000000000,-1.0000000000
4135001,Plant_1,2020-05-15 13:00:00,15327.5660715000,156531.7410717500,32.5807382012,47.7021690286,0.5102064739,27610.8910000000,0.5551275427,-0.2588190451,-0.9659258263
4135001,Plant_1,2020-05-15 14:00:00,19202.9659821500,196467.3654795000,33.9177654536,51.7429621774,0.6594180686,27610.8910000000,0.6954851976,-0.5000000000,-0.8660254038
4135001,Plant_1,2020-05-15 15:00:00,13380.3696428000,136588.2500000000,34.1920287667,45.2450175333,0.4394019457,27610.8910000000,0.4846047758,-0.7071067812,-0.7071067812
4135001,Plant_1,2020-05-15 16:00:00,9580.4733631000,97617.6250000000,34.1814034333,41.2599879667,0.3230948608,27610.8910000000,0.3469816806,-0.8660254038,-0.5000000000
4135001,Plant_1,2020-05-15 17:00:00,3357.5050595375,34318.1279765000,33.0218904095,34.6414626940,0.1165690756,27610.8910000000,0.1216007502,-0.9659258263,-0.2588190451
4135001,Plant_1,2020-05-15 18:00:00,210.1321428588,2176.0544642775,29.1887765940,28.0389443000,0.0083839765,27610.8910000000,0.0076104803,-1.0000000000,-0.0000000000
4135001,Plant_1,2020-05-15 19:00:00,0.0000000000,0.0000000000,26.3398656000,24.7107082000,0.0000564007,27610.8910000000,0.0000000000,-0.9659258263,0.2588190451
4135001,Plant_1,2020-05-15 20:00:00,0.0000000000,0.0000000000,22.6034367440,20.4288861119,0.0000000000,27610.8910000000,0.0000000000,-0.8660254038,0.5000000000
4135001,Plant_1,2020-05-15 21:00:00,0.0000000000,0.0000000000,22.1864893167,20.7391174833,0.0000000000,27610.8910000000,0.0000000000,-0.7071067812,0.7071067812
